0	9.68E-01
16	9.56E-01
32	9.00E-01
48	9.03E-01
64	8.29E-01
80	7.07E-01
96	6.78E-01
112	5.19E-01
128	4.46E-01
144	4.26E-01
160	2.86E-01
176	2.39E-01
192	1.85E-01
208	5.23E-02
224	5.25E-02
240	2.58E-02
256	-8.97E-02
272	-6.31E-02
288	-7.46E-02
304	-9.30E-02
320	-8.33E-02
336	-4.39E-02
352	-3.73E-02
368	-9.57E-02
384	-9.31E-02
400	-1.49E-01
416	-1.19E-01
432	-1.18E-01
448	-7.18E-02
464	-1.38E-01
480	-1.34E-01
496	-1.63E-01
512	-1.00E-01
528	-3.90E-02
544	-7.24E-02
560	-7.06E-02
576	-2.56E-02
592	-9.61E-03
608	2.69E-03
624	-2.51E-03
640	-5.12E-02
656	-2.91E-03
672	1.79E-03
688	2.32E-02
704	1.01E-02
720	1.62E-02
736	8.99E-03
752	-3.41E-03
768	4.09E-02
784	3.84E-02
800	2.57E-02
816	2.90E-02
832	2.02E-02
848	3.59E-02
864	1.27E-01
880	8.16E-02
896	4.19E-03
912	1.44E-01
928	5.45E-02
944	8.96E-02
960	9.36E-02
976	3.93E-02
992	8.19E-03
1008	8.29E-03
1024	1.09E-01
1040	3.64E-02
1056	2.72E-02
1072	8.46E-02
1088	4.29E-02
1104	6.76E-02
1120	-1.21E-02
1136	5.89E-04
1152	1.24E-02
1168	-1.13E-02
1184	8.39E-03
1200	-2.11E-04
1216	-6.01E-03
1232	-6.86E-02
1248	-7.90E-02
1264	-1.30E-02
1280	7.69E-03
1296	-4.91E-03
1312	-5.03E-02
1328	-1.01E-01
1344	1.90E-02
1360	1.74E-02
1376	-2.31E-02
1392	-4.62E-02
1408	-3.33E-02
1424	3.26E-02
1440	-6.28E-02
1456	-4.33E-02
1472	-2.90E-02
1488	-2.46E-02
1504	1.98E-02
1520	-3.48E-02
1536	-7.74E-02
1552	-6.21E-02
1568	-6.01E-03
1584	-1.88E-02
1600	-2.07E-02
1616	-8.41E-03
1632	-2.12E-02
1648	-1.28E-02
1664	-1.67E-02
1680	-4.81E-02
1696	-2.14E-02
1712	2.32E-02
1728	4.89E-02
1744	2.20E-02
1760	-2.24E-02
1776	-1.91E-03
1792	3.30E-02
1808	4.90E-02
1824	3.99E-02
1840	4.39E-02
1856	-1.11E-04
1872	5.83E-02
1888	5.44E-02
1904	5.38E-02
1920	2.63E-02
1936	2.78E-02
1952	1.42E-02
1968	2.63E-02
1984	2.29E-02
2000	2.04E-02
2016	1.48E-02
2032	-3.24E-02
