# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-59.4113 17.8574 88.5543 5.92014 50.5479 6.17803
-115.954 4.99924 39.5079 -6.07346 42.6368 6.04822
-91.8763 31.3908 59.5761 6.74833 45.9443 6.1874
-100.923 12.5263 47.2442 -2.7798 45.9849 6.12637
-105.911 30.3583 64.6267 13.0701 63.5611 6.02794
-140.844 21.2478 39.4358 12.6217 56.5826 6.12248
-128.206 26.0812 47.4373 8.21193 51.3495 6.21002
-149.067 -5.90705 18.0966 -0.190696 42.1723 6.18417
-92.1359 22.9153 53.6778 0.964112 38.1361 6.20207
-111.125 15.8254 37.7846 4.77689 47.5221 6.01789
-82.3892 24.521 63.8275 5.55169 49.6388 6.11073
-140.973 3.10683 24.872 4.28555 50.3133 6.15926
-128.052 18.3472 31.7658 9.96173 47.2882 6.17451
-153.151 -4.79815 28.4124 3.60427 52.436 6.04522
-95.2461 20.6087 30.8159 4.99449 34.3763 6.09092
-119.175 27.9704 50.7191 3.42896 46.8673 6.04334
-146.529 -7.81476 14.6904 -1.03647 38.0044 6.09721
-155.578 6.83978 26.0735 8.67714 51.0263 6.11306
-139.853 8.86738 35.7975 6.84472 51.1899 6.07668
-112.983 28.4542 38.1552 7.07245 40.3649 6.01585
-137.218 4.86065 41.8474 1.26583 59.7197 6.05998
-170.446 8.37649 31.6203 13.9758 52.2424 6.16086
-108.144 23.2533 45.1556 5.72118 47.8526 6.04094
-151.743 19.3617 42.7752 14.4455 59.2418 6.1715
-124.243 32.1274 52.8408 8.18973 51.5438 6.14002
-129.49 25.2908 57.734 4.3969 56.2895 6.05241
-109.336 51.9993 77.782 19.9201 63.7582 6.05127
-149.614 15.2285 31.3811 11.0495 56.4147 6.04768
-135.864 10.635 36.8737 0.947421 50.1266 6.05916
-124.717 13.4827 41.2381 -2.08998 45.3988 6.02558
-95.3691 38.8474 69.4293 13.6786 56.0642 6.13245
-145.025 -5.21565 23.9194 -0.449377 47.1803 6.19407
-144.275 10.3298 24.0902 10.3952 47.3156 6.13575
-120.652 25.2397 64.7163 6.62322 55.9616 6.12714
-146.276 -1.85932 23.9846 0.143789 46.6468 6.18974
-90.7043 30.2269 67.9375 9.92213 53.5659 6.2309
-123.728 9.40398 33.9955 -1.51545 45.9311 6.00438
-120.792 25.9368 46.9608 7.164 49.1007 6.05743
-145.336 16.3629 42.9983 9.7534 54.1506 6.1152
-128.678 21.1635 44.5336 12.0185 59.3553 6.08558
-55.2957 17.0644 89.6003 9.31448 57.2354 6.19491
-117.802 12.3236 37.1134 0.871896 45.0742 5.9987
-128.571 8.94698 36.283 1.81429 46.2832 6.17925
-152.316 4.64906 28.7428 5.29656 49.7491 6.19774
-133.09 36.5691 46.4464 12.6465 48.5495 6.11287
-119.788 23.7999 64.4299 5.97517 59.2292 6.01597
-159.74 6.55627 36.3674 7.99735 49.4074 6.07643
-105.761 31.3616 46.1739 12.6457 46.3195 6.16561
-121.66 22.4012 46.5716 1.75862 49.3821 6.11857
-109.089 32.883 51.156 9.49483 47.054 6.22943
-123.656 17.7919 36.3716 3.70156 46.677 6.14591
-166.19 -2.5768 26.0644 8.51024 50.632 6.25369
-106.865 24.3035 54.9498 5.17308 48.8946 6.12622
-94.638 17.3839 45.6095 5.23391 49.7713 5.99747
-84.3747 19.408 52.1198 3.11039 40.9578 6.10134
-67.5648 33.51 78.1555 12.3408 51.6432 6.20131
-133.792 15.6197 33.7395 8.43191 49.3166 5.9856
-137.958 14.5686 33.7084 12.0265 58.4995 6.09135
-159.861 0.0208635 9.35808 5.00667 39.4991 6.16556
-140.203 9.39449 29.6467 3.07878 49.8089 6.06687
-146.64 3.74768 23.2958 7.26457 50.2555 6.2527
-122.233 30.0775 49.6112 8.42523 53.4304 6.16419
-105.333 23.3095 39.549 11.7609 46.4788 6.14629
-103.393 37.5281 61.1455 9.9801 49.0962 6.12896
-107.739 13.9199 39.6502 0.997588 40.5341 6.10372
-154.434 0.802585 30.4444 5.27292 50.7602 6.22587
-143.535 23.4159 41.5608 15.0217 63.6209 6.09115
-135.531 28.6493 46.6065 12.0182 54.4644 6.13282
-118.068 13.0615 27.6033 1.2592 38.0127 6.03921
-126.909 14.7617 33.924 7.55485 48.5811 6.09306
-139.064 4.61925 11.3851 7.85893 48.1976 6.09507
-108.464 28.9218 51.9846 8.29078 47.658 6.14925
-155.984 6.30658 39.7605 8.47632 60.8133 5.99915
-132.092 16.2811 46.4302 8.77568 58.1183 6.08967
-127.106 10.1811 47.6033 -0.792437 50.5522 6.03423
-153.689 20.2908 40.1585 14.8257 57.346 6.10777
-108.854 23.4662 51.8613 9.16321 56.4042 6.01737
-160.723 3.59536 42.3092 8.511 53.4716 6.09351
-99.9125 29.3917 64.1867 8.46248 54.6872 6.30509
-115.412 18.3285 32.0287 6.81297 46.7147 6.1554
-140.997 11.5427 26.317 7.16402 47.0775 6.17589
159.038 -17.0934 33.251 -1.6627 49.7651 6.25122
-117.503 22.5765 28.0307 5.16346 39.8967 6.13289
-149.978 -18.2337 1.95079 -3.56115 39.8707 6.09473
-124.276 18.6192 39.9521 8.50053 49.1079 6.11162
-127.77 31.0297 48.0706 12.9747 52.7818 6.15708
-125.449 15.3347 45.5592 10.8404 58.5917 6.18672
-157.684 -4.0761 16.5208 2.93213 45.6168 6.19449
-119.063 21.567 41.9445 11.1742 48.2761 6.12567
-161.079 -13.3409 14.3843 5.70859 49.4581 6.19833
-139.635 12.723 36.8252 7.3456 52.2732 6.14911
-162.582 -0.847456 18.5923 5.05405 41.4755 6.15708
-138.58 6.83365 27.786 1.84773 47.8172 6.08907
-144.922 11.1483 38.7926 8.15904 56.0456 6.12085
-100.127 29.2126 53.4754 4.93388 46.0981 6.18411
-154.997 10.348 19.6767 14.17 54.3838 6.25474
-116.658 11.8093 37.1986 4.39267 48.7006 6.11327
-95.6214 21.6827 50.4606 4.18064 47.8623 6.13283
-140.996 14.1675 17.914 9.37973 45.7074 6.1594
-98.6899 20.8567 44.5149 6.11817 46.0422 6.09181
-96.3965 13.5835 13.6564 -2.56217 25.5722 5.89796
-124.428 20.1616 45.808 5.49015 48.5783 6.0973
-164.265 -5.17499 32.4106 3.56789 51.939 6.10527
-146.899 3.70978 11.5685 3.5163 48.3723 6.2514
-119.716 25.0268 49.5033 3.34094 47.9503 6.16281
-144.365 10.4631 21.0575 10.7378 52.5305 6.0664
-119.024 24.4039 48.4504 6.02898 47.8803 6.13428
-126.738 17.9425 32.7223 4.33392 42.3366 6.03652
-91.2581 27.6605 61.2619 3.5189 48.8939 6.07276
-133.675 8.62049 17.7051 3.2653 43.6184 5.93748
-92.6828 35.7787 61.1638 7.38887 47.3578 6.18851
-158.613 6.53518 23.564 12.197 49.2809 6.18913
-125.071 17.5804 14.5549 5.13289 39.3138 6.15899
-111.817 26.7362 56.5377 9.17758 53.2719 6.0995
-124.185 30.1831 50.3264 15.3579 55.513 6.07312
-123.857 13.2457 48.2536 -1.9617 51.017 5.9879
-150.467 9.09831 41.5269 5.83041 54.1534 6.12799
-149.787 12.5778 25.6636 11.837 47.903 6.03828
-165.097 -2.01341 35.8206 8.82703 57.9648 6.14574
-123.123 34.2594 57.0804 9.68087 57.216 6.01773
-159.65 -3.15909 38.1722 6.6086 59.3967 6.13906
-129.161 4.16497 42.2152 5.21141 54.3959 6.10048
-95.1359 19.0967 60.3499 3.69294 45.0672 6.02835
-155.443 11.4862 11.6467 13.2628 43.5778 6.16631
-168.663 3.69941 34.1898 11.863 51.9214 6.18768
-119.253 18.9083 45.7008 7.47319 51.8028 6.02139
-96.659 20.1925 41.9453 3.60607 39.542 6.11298
-110.118 25.1293 53.2581 3.14927 47.8193 6.18773
-153.6 12.593 29.3543 15.268 52.9212 6.03449
-136.162 12.583 25.1154 6.82386 44.7932 6.2196
-104.052 25.6119 53.0158 1.69211 47.3221 6.1845
-110.693 28.581 51.7041 11.1766 51.0378 6.27929
-160.58 2.46067 28.4703 1.66388 45.8137 6.1553
-132.569 27.36 34.1245 17.3179 52.6044 6.19732
