# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-81.7727 -22.9548 -26.1058 -10.4212 -17.1313 4.82391
-85.4813 -32.9481 -22.7623 -17.7254 -16.9307 4.87185
-81.8698 -20.1708 -32.7047 -13.0602 -20.3756 4.8692
-87.1994 -3.55371 -17.2044 -6.50834 -16.3008 4.7893
-77.1778 -19.4256 -23.7967 -12.2018 -16.481 4.83197
-85.0356 -24.2251 -18.6612 -9.7713 -16.2777 4.82119
-86.2198 -16.3543 -23.0577 -9.24919 -16.9756 4.918
-92.4633 -12.4432 -21.624 -5.7797 -14.8229 4.94108
-79.2835 -18.8607 -30.6531 -10.4601 -15.7226 4.75314
-93.6806 -5.95197 -25.2004 -1.43995 -17.6525 4.8253
-75.8888 -29.4378 -37.4118 -15.322 -20.3442 4.81363
-90.9934 -27.0413 -19.7029 -8.6449 -18.7106 4.93526
-76.3763 -22.0005 -39.4815 -10.9796 -19.3671 4.81955
-80.5382 -20.2179 -34.6563 -6.47607 -15.6236 4.8078
-67.7921 -13.1919 -23.9904 -6.2019 -12.913 4.81873
-84.2041 -5.45177 -20.4457 1.54552 -16.2913 4.76496
-78.4442 -19.0693 -33.2108 -7.26984 -18.6641 4.8346
-87.7615 2.31012 -26.1367 7.07656 -17.7339 4.76705
-76.796 -30.472 -26.4311 -18.0919 -15.2956 4.81258
-80.3114 -26.7402 -30.2228 -10.2694 -16.7532 4.9395
-63.6719 -35.0094 -34.4241 -22.3168 -24.0963 4.72178
-78.4418 -14.6621 -28.0218 -10.8159 -19.6405 4.70958
-96.2856 -2.91774 -20.9129 1.73158 -16.1257 4.8207
-62.8615 -15.8438 -33.1225 -17.3438 -19.8439 4.75006
-83.3557 -27.5213 -23.288 -15.761 -13.9915 4.88016
-89.5724 -16.0769 -24.6808 -4.41755 -15.1714 4.88841
-93.6067 -5.60069 -21.0907 -0.153323 -17.468 4.77483
-108.908 12.2341 -36.9563 12.7405 -23.5436 4.75708
-81.8975 -12.8291 -21.9381 -2.4604 -15.5998 4.76276
-81.6224 -27.5998 -24.6559 -16.615 -15.8363 4.89671
-70.1709 -25.1925 -33.9932 -12.1771 -17.443 4.80949
-78.9731 -28.1686 -26.7462 -7.53497 -17.9356 4.83055
-75.2153 -29.5066 -22.1963 -14.3895 -15.0376 4.84831
-89.9903 -27.0421 -32.1175 -11.485 -20.0122 4.79952
-74.1759 -40.1358 -30.8263 -23.7216 -21.4092 4.80717
-76.8259 -18.4192 -32.1011 -5.19389 -19.5075 4.76294
-93.5004 8.72927 -26.9037 6.92514 -17.566 4.82953
-81.0527 -11.3651 -29.7303 -5.71768 -18.1713 4.81272
-78.7247 -29.7484 -31.1678 -17.3543 -19.364 4.86868
-74.4887 -17.7728 -28.1671 -10.6609 -15.0354 4.75121
-71.8706 -20.2548 -25.4452 -13.1483 -15.6694 4.80348
-69.1967 -32.3309 -27.5792 -13.8022 -12.9457 4.89463
-76.1901 -9.9131 -23.3438 -4.15911 -14.6188 4.75381
-84.3698 -6.01789 -19.3391 -3.47191 -17.5379 4.84889
-71.9762 -29.7736 -35.596 -17.8863 -19.8935 4.7977
-86.4226 -21.6986 -17.3499 -14.9636 -14.7768 4.80128
-83.4128 -25.7096 -31.0795 -7.17984 -18.0463 4.80645
-78.9595 -15.1713 -38.9575 -5.6044 -21.1016 4.80969
-76.1502 -21.3839 -35.0696 -10.4924 -20.7454 4.84045
-81.4075 -18.8532 -32.0669 -8.98312 -18.373 4.87532
-83.451 -21.1306 -26.1266 -8.58221 -19.7334 4.72877
-81.8593 -16.4453 -28.746 -6.87323 -18.0994 4.9411
-88.127 -15.7946 -30.7548 -7.58942 -16.4901 4.85246
-94.9794 13.3058 -23.4779 8.06672 -17.675 4.73986
-82.1953 -9.48365 -27.7832 -1.75712 -16.6158 4.86901
-72.9664 -1.87045 -25.72 1.46823 -16.7853 4.85835
-69.3255 -25.5683 -34.1297 -10.5417 -19.1118 4.75643
-70.3024 -23.411 -34.1807 -10.1879 -18.9321 4.80618
-83.8848 -4.59649 -27.0961 -1.69974 -17.4837 4.89337
-67.0139 -16.6725 -28.499 -15.0909 -16.6691 4.7961
-91.8571 -7.32548 -27.913 -6.038 -16.9273 4.88427
-76.717 -8.57367 -26.8166 -2.04262 -14.4092 4.81526
-76.4279 -24.5755 -28.8089 -11.8907 -17.3435 4.9075
-86.9829 2.94174 -32.4972 -4.48806 -22.2304 4.83531
-83.7372 -13.2282 -18.3803 -4.82677 -16.4446 4.91626
-68.839 -7.65035 -27.0209 -2.56484 -12.6706 4.92764
-76.3951 -18.5655 -21.2332 -11.158 -16.8436 4.90472
-90.9497 -18.2331 -31.1518 -6.38353 -19.1832 4.86479
-76.4734 -24.2609 -28.8612 -13.1619 -20.1442 4.89221
-101.128 -9.00952 -13.6364 -5.22762 -15.1811 4.76127
-80.426 -27.2959 -31.9169 -11.9642 -20.5801 4.86014
-82.6691 -17.622 -24.6039 -10.5545 -14.5498 4.80944
-97.0378 1.38429 -31.5056 0.661368 -18.5571 4.79843
-90.9771 -29.7985 -19.8773 -19.2981 -17.7035 4.82677
-65.9829 -34.4437 -38.8855 -13.8914 -21.4415 4.80666
