# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-74.8214 -19.9864 -22.4341 -11.3195 -17.2362 4.79726
-90.4169 1.95471 -21.4262 2.1928 -15.9472 4.82476
-79.7127 -18.6762 -20.7946 -9.26698 -18.893 4.75415
-82.2337 -16.9068 -21.0995 -7.12452 -16.8523 4.6944
-77.1064 -34.9711 -38.476 -17.9022 -21.7644 4.72004
-78.0552 -34.175 -34.007 -14.9187 -18.6316 4.79795
-77.9993 -14.8219 -18.4945 -4.21019 -14.4808 4.77413
-71.582 -33.0202 -28.563 -13.8629 -18.0577 4.96373
-71.5561 -30.3365 -32.4241 -19.1198 -15.9083 4.85263
-69.3036 -23.8691 -36.0113 -12.9405 -16.9481 4.81419
-81.1569 -14.3452 -31.4832 -8.25121 -17.9934 4.84885
-88.2814 -18.7816 -16.4123 -3.27369 -17.4873 4.92803
-75.1607 -22.6377 -26.6448 -11.4388 -18.5144 4.87426
-77.9275 -18.4099 -25.3407 -5.40369 -16.2317 4.80546
-86.7906 -13.4819 -27.6581 -3.24549 -17.3726 4.86375
-73.8267 -17.8703 -28.2088 -7.11743 -18.6532 4.75011
-77.3839 -32.6562 -36.3268 -13.4423 -18.6034 4.81577
-88.1489 -10.9621 -14.2262 -4.87211 -15.9886 4.87385
-80.473 -29.3142 -28.4263 -14.2067 -17.2499 4.84222
-69.4184 -23.6438 -26.407 -16.0704 -17.6764 4.80655
-74.989 -26.9003 -26.4484 -11.031 -15.2669 4.8555
-78.2258 -27.1977 -30.862 -9.76861 -18.9433 4.76929
-79.1627 -22.6994 -25.529 -12.1528 -18.1571 4.91222
-61.6995 -19.4517 -32.7993 -11.4681 -18.1087 4.89615
-70.1704 -21.4365 -26.2588 -15.554 -19.3213 4.76093
-80.167 -25.9209 -34.9418 -10.4984 -20.735 4.7287
-67.0719 -25.0347 -29.1436 -15.6117 -15.4948 4.76213
-78.9756 -30.5097 -23.6598 -11.5278 -16.9951 4.8194
-70.1986 -36.6537 -34.6986 -16.1278 -16.006 4.93698
-67.5874 -30.6463 -34.9774 -16.5125 -23.115 4.81239
-73.118 28.56 -16.2606 -3.56893 -16.1133 4.69854
-79.5835 -29.6141 -29.0109 -17.625 -17.2188 4.79334
-87.3442 -29.2114 -27.3376 -16.4967 -17.8752 4.81208
-106.869 5.7402 -31.2743 7.00357 -18.1614 4.80838
-89.117 -9.62267 -24.0146 -7.86371 -16.3323 4.83015
-73.9768 -30.7771 -32.4532 -12.4922 -20.2362 4.80135
-73.6942 -27.2054 -24.6624 -12.5168 -16.6035 4.81125
-79.2707 -39.5688 -35.6383 -20.9284 -22.2338 4.86865
-90.4477 -2.63016 -27.0969 2.06853 -17.1288 4.92816
-79.4397 -14.5326 -25.1869 1.75151 -16.0853 4.69816
-79.4935 -28.597 -24.1695 -14.4519 -18.9621 4.8522
-77.7829 -26.4418 -25.2793 -9.97534 -15.2181 4.84322
-81.4188 -39.7582 -27.4425 -18.3576 -19.0174 4.79622
-88.8135 -13.7897 -19.6356 -9.77094 -14.0994 4.8365
-87.9512 -24.3013 -28.2873 -14.6249 -18.7076 4.84429
-72.0871 -28.7669 -28.554 -12.3404 -17.9249 4.84193
-87.9091 -28.5227 -30.0902 -11.5384 -19.5291 4.79846
-96.559 -17.5326 -24.3609 -3.88437 -16.9378 4.80023
-81.1777 -6.00434 -23.9702 -4.844 -16.8512 4.90526
-95.5496 -12.2369 -26.781 -4.03669 -17.6731 4.9044
-91.4382 -1.33339 -22.1398 0.725987 -19.2699 4.87999
-91.5466 -18.7298 -14.708 -7.52693 -15.5109 4.84171
-74.7098 -14.3926 -29.471 -3.37297 -16.5748 4.90714
-79.3992 -28.5247 -30.5901 -11.9236 -19.2554 4.8429
-85.2823 -18.8215 -29.9674 -4.68211 -16.25 4.91114
-82.5276 -15.7201 -26.4423 -7.64526 -16.9197 4.9038
-76.5314 -16.573 -25.8756 -12.9531 -17.7189 4.91147
-78.0078 -26.0646 -38.4607 -9.73212 -17.6127 4.8559
-70.8448 -7.59872 -31.3704 -5.41972 -14.1889 4.87742
-84.8349 -4.68026 -23.3559 -4.35959 -19.6085 4.87726
-80.0322 -30.0199 -29.0734 -9.62695 -17.7315 4.81697
-79.7251 -23.3928 -24.2292 -7.31699 -17.833 4.85561
-74.8505 -24.1045 -28.8558 -11.2787 -15.9346 4.87682
-83.2409 -21.6913 -24.6882 -15.4913 -19.9614 4.75361
-76.8928 -24.2273 -17.8488 -14.0412 -12.3588 4.84644
-79.061 -34.1125 -26.7393 -12.4841 -19.0986 4.77665
-71.9146 -11.1529 -29.0573 0.323637 -18.8336 4.87065
-68.4427 -34.7543 -35.1688 -18.9887 -19.894 4.79455
-80.8237 -19.5561 -22.8144 -8.99967 -16.2397 4.8219
-91.0572 -5.90823 -29.1007 2.0903 -20.1216 4.84956
-80.4799 -30.1826 -25.1594 -14.4883 -19.1105 4.84894
