# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-81.6338 -10.97 -26.2697 -9.83448 -20.6969 4.78224
-84.601 -22.8356 -19.6603 -11.1505 -17.2236 4.95042
-85.2626 -17.23 -22.9581 -8.78751 -16.9292 4.81882
-80.4166 -28.0023 -22.6411 -17.3777 -17.1836 4.93801
-66.9415 -7.24019 -24.4714 -1.37292 -12.8308 4.88867
-74.7437 -14.858 -26.5003 -5.85998 -15.3421 4.8461
-81.459 -0.621852 -29.8662 0.961695 -19.1389 4.70356
-83.7406 -7.88347 -20.6736 -3.66713 -16.7868 4.79427
-85.0617 -17.8009 -25.4167 -6.49787 -16.8592 4.86644
-81.721 -13.4662 -30.1594 -5.7614 -15.179 4.9351
-80.0801 -28.431 -25.3004 -18.234 -18.7915 4.78042
-100.253 0.853474 -27.0983 4.24807 -19.8994 4.75692
-83.7895 -12.9263 -27.624 -1.12631 -19.4855 4.81664
-90.4017 12.9062 -29.119 10.421 -19.4871 4.62038
-65.6026 23.8312 -10.9628 0.324146 -12.6915 4.66868
-72.0203 -12.7389 -29.694 -14.298 -17.4336 4.79011
-86.1486 8.97432 -30.0777 -3.00114 -17.3046 4.78632
-86.9797 -9.05113 -23.5605 -2.52071 -18.8996 4.87342
-72.7461 -28.9717 -33.2998 -8.14062 -19.7549 4.86708
-74.3359 -7.22492 -26.1365 -2.77504 -14.8641 4.80718
-80.6418 -12.7969 -27.842 -15.1078 -17.1298 4.85558
-69.1459 -23.0585 -31.8047 -13.7982 -18.0858 4.80725
-67.3779 -30.2809 -40.1764 -14.9419 -20.376 4.90549
-71.8772 -18.3997 -31.6352 -10.2612 -19.3073 4.86169
-86.8447 -14.4157 -23.2915 -5.35606 -19.2303 4.76835
-86.4906 -31.9461 -25.0099 -14.397 -18.8159 4.82011
-91.2566 -23.2587 -20.7221 -11.071 -18.3481 4.83657
-80.2854 -13.5048 -29.9674 -5.17543 -17.2143 4.78378
-87.6589 -4.99668 -18.9549 -0.734015 -15.5571 4.7982
-85.9585 -18.4179 -22.1964 -11.4737 -16.0335 4.86146
-81.1459 -23.1863 -32.7949 -13.3194 -16.0966 4.84701
-87.1992 -4.81817 -28.8254 -0.959303 -19.5596 4.86869
-81.6 -8.60188 -30.4361 -6.43405 -19.756 4.71566
-83.5471 -4.13308 -23.8857 2.93678 -16.6937 4.77284
-84.6798 -8.95558 -27.2558 -5.14502 -15.632 4.79945
-60.1333 -27.2733 -43.0047 -17.9437 -18.4936 4.67058
-90.2305 -8.05126 -25.9074 -3.06169 -20.5618 4.81909
-85.1685 -16.3527 -23.9512 -9.75195 -16.7584 4.82734
-80.1871 6.22338 -29.0425 3.1672 -17.5137 4.87666
-90.7911 -1.52461 -30.5905 -2.35061 -18.7096 4.77973
-79.3255 -20.3557 -29.6137 -9.22811 -21.0059 4.71205
-84.1118 -15.9729 -30.916 -8.11549 -18.613 4.8357
-89.577 -10.5278 -13.7319 -3.16611 -14.2618 4.90745
-84.1393 2.67251 -23.2055 2.32166 -16.3645 4.86602
-71.9088 -6.40559 -31.1603 -6.62733 -16.5992 4.71696
-74.1915 -14.3079 -35.4182 -5.39449 -17.7473 4.83344
-70.125 -31.3154 -38.0412 -17.2566 -21.1191 4.84561
-90.076 -4.5758 -24.4321 1.73634 -15.2313 4.91175
-88.3434 -10.0313 -17.6664 -8.08952 -17.8387 4.89908
-72.3054 -13.0571 -23.6876 -9.92257 -18.471 4.86749
-66.3543 -15.9927 -33.943 -17.2321 -19.4895 4.79709
-77.553 -25.9327 -23.5754 -15.5004 -16.3735 4.73391
-80.7457 -17.5109 -28.1684 -5.9192 -19.6668 4.83916
-98.1154 -4.18283 -24.0017 0.884045 -17.9236 4.8984
-70.6429 -16.4086 -19.6678 -6.94945 -13.3726 4.80699
-74.1016 -17.6649 -33.278 -12.2719 -17.356 4.83932
-64.6609 -16.2609 -34.1097 -14.4754 -17.6732 4.82262
-67.0382 -7.77991 -26.1274 -12.7644 -20.7553 4.78687
-74.4999 -5.73331 -31.2282 -2.71701 -17.9152 4.74671
-78.6439 3.36801 -20.0912 -1.34272 -14.5244 4.82854
-79.1302 -14.5657 -31.2601 -12.9314 -16.4807 4.87483
-93.3764 28.3982 -32.9184 10.2915 -18.9476 4.82119
-81.5543 0.883842 -28.0809 9.07893 -13.728 4.79916
-95.5259 -5.53508 -26.1327 0.663273 -15.7933 4.83621
-76.0797 -19.4854 -31.4508 -11.8739 -18.546 4.84027
-88.1408 -6.16992 -21.8597 -3.47335 -15.1783 4.82488
-81.6272 -15.657 -23.5395 -10.235 -20.1293 4.80542
-65.1021 -37.9463 -37.0525 -25.9122 -19.9801 4.82743
-63.0515 -33.3918 -40.7496 -19.2497 -17.3798 4.76987
-82.2873 -15.1772 -29.0491 -9.85799 -20.3857 4.74363
-85.7457 -12.6503 -26.9103 -6.31421 -17.2261 4.79032
-73.2793 -21.0543 -34.2469 -6.743 -18.9741 4.85534
-83.0512 -14.0086 -20.9187 -12.4522 -14.1141 4.97844
-67.7599 -19.7494 -39.4896 -10.4397 -18.3425 4.80131
-103.976 17.6275 -31.7754 14.4737 -18.7936 4.64816
-72.2734 -19.5205 -20.3817 -8.54832 -15.8269 4.88431
-115.713 21.8733 -30.5939 18.8448 -20.6467 4.61822
-79.0964 -8.79207 -34.7403 -2.59602 -18.5865 4.76423
-69.2802 -13.9573 -28.1553 -14.0041 -19.9001 4.89566
-79.6288 -20.3767 -24.3329 -10.4949 -18.1316 4.87293
-85.7421 -21.0004 -19.5946 -11.2962 -14.3653 4.91007
-77.3747 -15.04 -34.4128 -7.76573 -19.6285 4.84898
-48.3192 -30.9994 -40.9554 -18.828 -19.2801 4.77798
-91.5063 -2.47749 -21.2911 1.12211 -17.2121 4.7929
-72.4159 -34.4751 -30.2264 -16.3365 -19.6537 4.90317
-89.2321 1.13629 -18.3969 6.92988 -18.8655 4.80128
-77.614 -11.9864 -27.2936 -7.78083 -18.2602 4.81859
-78.1583 -14.4118 -22.2937 -14.4704 -19.0693 4.80638
-79.3478 -17.0055 -22.3582 -11.0996 -17.8031 4.85842
-93.9762 9.54029 -29.1822 -1.288 -14.6932 4.73731
-74.2168 -34.6469 -25.3535 -14.884 -16.8314 4.84026
-85.5613 -16.3636 -33.6515 -6.45814 -17.2608 4.74109
-63.9907 -22.762 -29.1874 -13.5435 -17.4106 4.75596
-69.1813 -30.8449 -34.7996 -19.8497 -20.7568 4.78617
-88.8281 -18.5353 -25.6175 -9.92429 -18.426 4.89195
-89.0371 -13.4558 -20.4694 -2.23962 -16.5968 4.79301
-72.5899 -32.2788 -32.3836 -19.9407 -20.7115 4.85291
-80.9898 -6.87767 -22.7891 -7.07645 -15.1825 4.82854
-89.758 -18.4042 -25.4068 -3.35186 -20.3972 4.83887
-67.4089 -32.0292 -27.5751 -18.8763 -17.1164 4.83742
-89.0325 -4.6875 -28.8491 -3.37666 -19.6066 4.77678
-87.9798 -17.9239 -19.9628 -8.34167 -13.3752 4.83763
-78.9084 -34.8935 -24.4778 -17.5703 -18.5443 4.80925
-65.4355 -18.5475 -37.5236 -12.5781 -16.6834 4.78217
-84.8314 -18.6505 -29.8786 -8.03728 -18.3379 4.88041
-83.937 -11.0556 -28.8845 -4.48569 -20.0123 4.86989
-73.0428 -18.9682 -35.4834 -15.8563 -20.4767 4.77739
-80.8311 -9.13014 -20.3008 -7.49456 -17.9277 4.7746
-77.1427 -5.46539 -19.5887 -4.11363 -16.5267 4.87389
-75.907 -21.7093 -33.984 -10.9326 -20.2999 4.85063
-74.8706 41.3435 -13.1226 6.69556 -12.9525 4.64516
-106.85 9.0466 -28.3502 10.6573 -20.3714 4.74951
-67.744 -30.6666 -32.6363 -13.8774 -21.0856 4.72718
-85.0721 -19.2308 -27.0509 -12.1061 -16.6567 4.87188
-72.7731 -14.8096 -33.0499 -8.55445 -19.2947 4.80512
-92.8711 3.01758 -17.5781 -4.4224 -18.0438 4.74611
-52.019 -27.9 -40.5238 -22.3252 -18.3611 4.76835
-86.9873 -6.5679 -23.4292 0.419385 -16.915 4.82392
-67.0739 -26.8821 -28.0277 -16.1327 -14.8243 4.81067
-80.5891 -20.2478 -31.1384 -11.2665 -19.7488 4.78123
-70.9909 -24.4628 -25.0362 -16.5844 -17.3646 4.88624
-81.2708 -6.37402 -27.5355 0.578922 -17.2181 4.8622
-81.4551 -22.4259 -28.114 -11.716 -16.0078 4.82533
-79.4711 -8.02574 -17.8283 -0.748044 -18.1415 4.8212
-79.3218 -18.4258 -22.127 -8.87845 -17.5133 4.72219
-88.2089 -2.56733 -28.119 -3.21571 -16.5465 4.78634
-88.2727 -3.69421 -22.2478 -2.9206 -16.3381 4.77868
-85.7477 -3.61158 -26.8214 -4.51898 -20.0961 4.78943
-68.0393 -27.1374 -40.2058 -14.7689 -16.6591 4.84352
-91.6218 -1.6714 -27.1577 3.44516 -16.4963 4.85155
-77.6881 -21.7534 -25.6537 -6.51754 -17.601 4.72953
-90.9151 -8.5197 -21.3804 -2.28144 -15.4124 4.78461
-68.5633 -17.1902 -19.9942 -12.1274 -14.6248 4.77099
-73.4472 -12.2186 -36.3616 -4.12105 -15.8618 4.80345
-75.6747 -18.897 -29.0728 -7.46689 -18.2021 4.8585
-93.6821 -15.4709 -24.798 -6.70947 -18.232 4.8272
-87.3221 -11.5943 -21.0087 -6.5103 -18.2787 4.7511
-65.6924 -22.887 -33.0907 -11.1335 -18.3343 4.88598
-73.4687 -19.28 -23.366 -13.5837 -15.3943 4.86052
-60.1228 -28.3817 -31.9374 -16.2117 -16.698 4.85148
-76.9124 -23.1471 -26.4721 -10.0383 -15.6933 4.79278
-72.7713 -16.3187 -27.768 -9.68115 -18.1572 4.78881
-81.6014 -11.8164 -28.8095 -6.13317 -15.0039 4.8992
-80.6992 -7.60523 -18.8372 -3.56255 -15.9823 4.87254
-73.5226 -19.7575 -32.2907 -6.67962 -17.4958 4.90352
-73.3209 -21.4391 -26.5278 -12.6155 -16.1605 4.95459
-72.71 -21.2608 -17.4815 -13.9548 -16.8206 4.74705
-67.9826 -10.1852 -22.5853 -8.99731 -15.7578 4.85786
-62.8634 -29.3077 -30.9325 -13.4085 -15.5379 4.76003
-79.912 -36.1538 -35.9664 -22.1001 -21.5075 4.81463
-74.8066 -25.4925 -28.4865 -13.6763 -20.6532 4.85146
-77.1891 -23.6578 -28.5696 -7.51982 -18.546 4.79598
-87.2083 11.4419 -22.5038 0.648062 -15.0403 4.85434
-69.4528 -27.5494 -28.7434 -13.4786 -18.6245 4.82928
-83.6313 -1.56793 -21.423 3.17409 -15.8184 4.79139
-90.7764 5.23172 -29.1746 2.06644 -20.8095 4.83146
-84.9833 -12.4205 -22.3093 -8.19061 -15.3194 4.84915
-85.9427 0.331746 -32.6726 3.36048 -18.4256 4.77273
-69.9684 -10.9696 -44.4386 -9.31228 -18.1917 4.87894
-71.6232 -19.5338 -29.9326 -8.1723 -17.0151 4.85017
-75.5182 -19.5767 -32.4543 -6.54959 -19.7147 4.84
-78.9808 -2.30839 -18.9289 -1.45979 -17.5682 4.8173
-56.5224 -37.8083 -37.1672 -17.4755 -17.9545 4.79033
-85.9168 -10.6068 -20.4136 -2.59636 -17.703 4.79382
-80.1746 -4.27605 -22.6434 -11.2221 -20.8481 4.8099
-79.3993 -21.7655 -27.9188 -11.9885 -19.2381 4.84244
-48.8976 26.4688 5.10585 -4.23859 -10.222 4.6479
-98.4583 11.6797 -28.3717 11.4285 -20.1079 4.70401
-65.9355 -17.3385 -34.8994 -10.1222 -18.7047 4.81258
-67.4053 -5.32963 -25.2669 -1.84274 -16.0742 4.73212
-84.2546 -16.4994 -26.1179 -6.51728 -18.577 4.81198
-77.7517 -15.6337 -30.0524 -8.81915 -17.818 4.86273
-85.3117 -21.787 -25.9962 -11.5318 -17.9898 4.90969
-61.7492 -19.3622 -33.1531 -14.7393 -17.7624 4.79465
-74.776 -7.05191 -23.0341 -4.15029 -16.6261 4.77148
-67.0557 -15.6143 -33.4349 -9.29142 -16.4987 4.87433
-75.3972 -22.8543 -33.5328 -17.4793 -19.4263 4.81783
-62.182 -22.3831 -33.3463 -8.89643 -16.1947 4.74721
-90.8314 -7.60332 -24.5557 -1.42073 -17.3356 4.82978
-97.6642 6.11788 -24.4678 3.94749 -13.5619 4.83841
-85.4548 -1.50957 -28.8202 4.44558 -17.1593 4.83332
-76.8357 -20.4661 -30.265 -15.3187 -16.8039 4.78977
-85.0876 -18.4397 -27.453 -9.24368 -15.6276 4.94404
-73.3548 -11.0444 -33.6992 -4.08782 -18.2399 4.78534
-83.6421 -4.27529 -23.8047 -2.37686 -18.4589 4.82768
-74.744 -24.3864 -31.2666 -11.9057 -19.0718 4.81844
-80.813 -21.7545 -24.7187 -14.4723 -18.3066 4.80148
-73.8149 -16.7902 -32.208 -6.0067 -19.6457 4.82378
-84.066 -17.1704 -28.0554 -4.36703 -18.1649 4.8561
-71.6077 -24.0702 -32.4337 -14.6376 -19.0949 4.78967
-84.7401 -16.3243 -23.2624 -11.1136 -17.7606 4.89063
-88.836 -8.77444 -34.2526 -8.56345 -20.5658 4.82046
-84.8562 -20.4544 -28.8907 -9.95232 -17.6161 4.69673
-93.6863 5.04005 -30.6313 4.38153 -20.0491 4.84908
-74.692 -22.7769 -29.7623 -8.50257 -18.9559 4.69057
-88.4654 3.40454 -29.0009 0.552849 -19.4835 4.85038
-65.1147 38.8217 -15.3313 -2.39833 -14.6214 4.63082
-84.547 -23.8769 -20.6154 -8.78435 -17.2814 4.83896
-72.1468 -22.1445 -28.6544 -9.55651 -16.3943 4.86663
-74.1039 -29.9141 -26.7723 -10.4809 -14.6886 4.89396
-76.8021 -1.87597 -27.1539 -1.22667 -14.6628 4.86308
-88.555 -17.4594 -25.1806 -8.36297 -17.5836 4.79276
-76.7926 -26.2604 -31.9439 -16.4205 -17.0711 4.77601
-72.2619 -27.9434 -32.7369 -14.3136 -18.514 4.85309
-81.2919 -10.7423 -36.8525 0.533052 -16.7537 4.81783
-84.0646 -11.5718 -20.8504 -7.84761 -13.0144 4.81934
-81.1606 -20.3045 -25.194 -8.96811 -17.7268 4.75062
-69.8894 -21.5124 -26.0071 -11.6692 -19.6537 4.82921
-74.129 -28.9318 -29.5572 -15.8667 -17.234 4.81808
-91.5587 -16.8315 -20.0616 -9.6066 -16.6134 4.84619
-91.1948 -16.0719 -21.1528 -3.24723 -17.3106 4.85891
-97.0452 -19.4356 -17.6051 -7.75603 -17.1488 4.7635
-81.398 -25.8452 -25.0192 -10.973 -15.446 4.81732
-72.0811 -28.0336 -36.2235 -16.3184 -16.7636 4.84605
-69.6741 -21.5976 -26.9514 -11.397 -15.3983 4.81009
-83.5722 -7.71679 -26.7687 -6.54488 -18.4265 4.8289
-72.3117 -13.2121 -35.8736 -7.86719 -18.0375 4.96427
-91.3228 -10.0936 -29.3954 -0.174973 -18.9466 4.75254
-86.7718 -17.9299 -31.6294 1.45838 -18.0684 4.83524
-81.6203 -13.0178 -20.2417 -7.99413 -16.0168 4.77208
-92.1072 -3.61837 -28.7058 -5.28645 -15.6451 4.8546
-80.2822 -24.5104 -24.0013 -12.5765 -15.9586 4.90229
-87.9771 -22.7544 -30.8114 -10.774 -18.8133 4.84207
-78.6371 -25.8714 -27.1298 -16.5627 -18.0519 4.93295
-79.4219 -7.78078 -26.8735 -1.08365 -16.9377 4.84317
-80.1848 -20.27 -23.965 -8.66673 -13.6061 4.73809
-70.3738 -12.3184 -33.2235 -9.80206 -19.0879 4.74776
-67.8005 -26.6683 -31.6421 -12.7474 -17.4264 4.79611
-70.9616 -24.5585 -30.9175 -8.20071 -16.5292 4.90901
-64.4721 -31.5307 -33.7483 -17.5675 -17.9047 4.78516
