# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-124.801 47.598 -31.6843 26.2957 -24.5803 4.57065
-78.6589 -10.5883 -24.4779 -3.69354 -19.53 4.85595
-91.7191 -7.15555 -20.2244 -3.3007 -18.3397 4.77423
-74.2238 40.8311 -22.0032 6.15622 -14.272 4.6456
-70.8337 -13.6852 -25.3506 -8.40489 -18.6268 4.7779
-91.5248 -7.25725 -27.0703 -2.59549 -19.5265 4.84942
-78.3223 -24.7484 -36.5421 -9.74611 -22.4968 4.95743
-65.925 -20.408 -33.7845 -11.8546 -15.1585 4.83216
-87.6709 -26.9277 -31.3511 -13.0451 -20.5799 4.90844
-86.2915 -15.2795 -20.3914 -12.8142 -18.843 4.82963
-83.42 -23.6268 -28.168 -5.2016 -15.9865 4.9274
-76.5351 -14.6516 -31.1669 -2.56049 -17.7108 4.7997
-78.8539 -8.66813 -25.8166 -7.55592 -16.9753 4.78456
-79.6691 -15.4093 -32.4294 -8.87834 -15.9702 4.81136
-72.7412 -22.7195 -32.8458 -9.26852 -16.2983 4.91599
-77.3859 -20.5286 -33.2319 -9.06057 -18.23 4.90634
-92.7029 -7.85167 -24.2332 -4.06338 -17.5779 4.79786
-77.7845 -21.24 -26.4392 -14.2565 -18.8589 4.83186
-73.827 -4.25869 -30.1344 -5.60343 -18.9173 4.86132
-81.4977 0.666281 -25.2877 -3.42546 -19.358 4.77214
-90.3228 -11.8921 -36.3512 0.75656 -19.548 4.85706
-80.2677 -22.5699 -26.9305 -15.2512 -17.7748 4.79765
-63.1495 -26.9179 -37.8884 -15.3535 -18.9038 4.82333
-76.058 -17.7825 -25.4224 -2.35987 -14.6539 4.77643
-77.4195 -13.9606 -30.0109 -4.59835 -16.2326 4.8775
-90.5392 8.81583 -36.0992 7.43844 -18.3318 4.72945
-79.9416 -7.21205 -32.8972 -5.58584 -20.7162 4.8064
-91.2267 -7.22414 -26.6393 -0.412584 -18.6044 4.78276
-76.2479 -16.1889 -30.7103 -4.32507 -16.7793 4.85104
-84.282 -14.9559 -28.3887 -10.7305 -17.6885 4.75187
-76.3202 -16.2083 -31.7484 -6.90721 -16.4916 4.80604
-76.4832 -11.1826 -37.4716 -6.82042 -20.6503 4.84336
-78.4091 -11.4907 -30.6552 -1.80025 -17.4177 4.84961
-75.9299 -31.2532 -41.3823 -18.3852 -24.1861 4.82413
-67.7255 1.26136 -29.9542 -7.65112 -15.2129 4.84304
-87.7484 -17.258 -38.8369 -11.3105 -19.019 4.89627
-81.4062 -10.9791 -19.6132 -7.66728 -11.5103 4.80556
-62.9365 -35.0491 -38.2377 -16.1633 -18.3016 4.79728
-75.2563 -14.6971 -19.5492 -9.05748 -16.6685 4.83858
-57.3388 -27.2058 -38.6727 -13.1191 -19.3604 4.71573
-70.1301 -21.429 -26.413 -17.4854 -15.3837 4.88471
-78.0736 -6.96253 -24.1916 1.59397 -15.2867 4.78183
-82.837 -9.30748 -28.9715 -2.49717 -19.7881 4.87663
-81.2612 -6.61124 -25.5207 -5.25007 -13.3278 4.8936
-80.2497 -20.245 -30.0624 -10.395 -16.1398 4.83176
-80.3413 -12.4027 -31.4486 -8.00504 -18.683 4.79035
-62.8843 -12.4779 -28.9333 -11.0928 -15.8666 4.78659
-98.3503 -7.79892 -22.7897 0.106503 -17.7489 4.88781
-78.3587 -28.206 -34.8604 -11.4678 -21.7722 4.80301
-88.2203 -22.606 -27.5107 -9.49236 -17.2783 4.93518
-97.837 5.14378 -23.2879 3.19382 -15.4491 4.85635
-82.0481 -11.783 -36.5916 -4.08905 -18.3764 4.8546
-92.9593 1.33171 -21.9755 3.09466 -17.2105 4.72651
-71.0958 -28.1124 -32.7044 -14.7773 -17.9933 4.79524
-86.1287 -14.0419 -30.4868 -4.28053 -18.4845 4.83912
-85.6953 -1.38372 -27.3796 -3.49284 -17.2277 4.93427
-85.6196 -9.27694 -20.7746 -4.35606 -15.5649 4.8652
-101.203 -7.35018 -25.765 -6.85586 -18.6699 4.74104
-75.8411 -26.2397 -32.0189 -12.4322 -17.0669 4.94318
-82.4663 -9.93584 -20.1741 -8.32504 -15.6106 4.83581
-79.5297 -13.4323 -33.318 -8.22511 -15.6744 4.81203
-80.0756 -32.8109 -29.2821 -11.9626 -16.6758 4.83219
-72.1075 -11.7043 -28.445 -6.906 -15.5295 4.78651
-77.1546 -30.22 -21.9124 -19.0276 -14.672 4.85081
-80.1993 -23.023 -31.246 -10.2985 -17.1911 4.84266
-73.3546 -13.5677 -36.9867 -12.1889 -16.6057 4.81515
-83.9931 -18.1017 -24.3101 -5.62168 -16.8107 4.86366
-80.768 -11.5416 -29.4792 -7.14709 -17.1752 4.77388
-84.9862 -10.9919 -27.8898 -7.74866 -16.8342 4.88867
-95.9098 -1.48788 -23.3776 -3.48384 -14.9526 4.69162
-84.3377 5.87721 -21.8103 2.34534 -17.5651 4.85511
-66.9457 -22.2446 -39.6687 -15.1037 -17.9501 4.79563
-84.4122 -9.20981 -25.2514 -5.43471 -16.5751 4.87937
-84.986 -21.3453 -27.7618 -9.84266 -18.6056 4.7306
-86.9761 -11.908 -29.1001 -12.1979 -17.79 4.73148
-70.9043 -12.3475 -34.2737 -7.51974 -17.2766 4.92065
-79.7638 -8.32053 -23.8866 -7.74161 -13.778 4.78399
-77.3387 -7.34429 -29.7926 -2.52123 -19.4198 4.76098
-82.0537 -23.1021 -29.211 -13.3254 -19.3205 4.87103
-88.1819 -12.1823 -21.1509 -9.73362 -18.402 4.74188
-94.2285 17.7185 -26.8142 1.31712 -17.3103 4.86915
-69.1537 -19.2073 -24.3086 -15.6877 -18.5195 4.76052
-97.7876 -8.15201 -15.3317 -0.2709 -15.1605 4.95273
-63.2326 -28.7062 -34.8474 -18.5216 -19.0503 4.84122
-74.2268 -9.78862 -32.9836 -9.32344 -15.2827 4.86112
-62.4241 -24.7452 -25.2129 -17.2601 -16.2644 4.73562
-82.9563 -22.5112 -29.7081 -13.1422 -20.4853 4.85824
-64.7089 -17.7715 -28.6234 -11.8755 -17.7387 4.69895
-83.3558 1.05149 -27.8093 -0.40145 -18.6568 4.91218
-97.9656 -9.28939 -21.1674 -1.68831 -18.0237 4.82955
-76.8949 -4.79628 -36.8003 -1.01495 -18.1077 4.7636
-69.7032 -31.2267 -34.9609 -15.8015 -20.0716 4.71135
-75.4219 -11.9188 -23.6943 -1.09633 -16.9901 4.82751
-72.738 -25.9492 -24.9672 -12.2306 -15.936 4.85775
-68.5508 -28.3423 -39.6439 -17.4244 -21.8488 4.80394
-60.8585 -28.7806 -41.0236 -13.8113 -19.3067 4.69651
-77.028 -17.2736 -26.5343 -9.55225 -18.0606 4.90775
-66.3531 -23.3433 -32.0664 -14.1594 -19.1187 4.76434
-77.5355 -9.57952 -33.5716 -7.33133 -20.8445 4.73878
-66.6763 -47.5515 -32.9644 -26.288 -20.1721 4.77831
-75.9285 -14.9196 -28.3881 -11.0171 -15.632 4.83807
-69.2304 -17.8713 -32.536 -12.7691 -15.5244 4.83597
-89.0084 -9.68115 -24.7169 -1.6442 -16.3638 4.88669
-89.6592 -18.6944 -27.6714 -12.8154 -15.972 4.84388
-75.7446 -15.8176 -32.7473 -6.60729 -15.3537 4.8089
-84.5332 -11.3869 -25.3559 -8.32625 -18.0861 4.83859
-66.5001 -21.6329 -29.8156 -12.4745 -16.0101 4.7954
-75.4917 -13.4314 -29.2488 -5.22369 -17.2623 4.87314
-94.3242 -6.2653 -28.84 -0.912352 -18.0559 4.88602
-84.5494 -3.41615 -18.9448 2.63274 -14.6192 4.86038
-71.8158 -17.5395 -25.8942 -10.3832 -16.9171 4.75643
-78.3462 -24.0512 -28.0689 -12.6888 -17.2271 4.86159
-82.2668 -16.3453 -23.3337 -12.0387 -17.1076 4.89405
-62.5704 -14.1442 -23.794 -7.60483 -13.2151 4.92616
-87.0873 -15.4235 -23.4 -6.31911 -19.2804 4.72515
-93.1401 -9.76664 -22.4349 -5.35783 -15.0114 4.91124
-71.3092 -22.4692 -34.157 -15.8268 -22.1419 4.77869
-59.6986 -30.7481 -39.5545 -20.9981 -17.7227 4.7966
-63.0882 -32.9583 -41.4605 -14.6482 -19.0492 4.79816
-72.5017 -17.2416 -32.574 -8.41529 -18.421 4.83799
-87.3954 -13.8272 -22.5415 -2.68668 -16.0454 4.93706
-89.9875 -13.8199 -22.6288 -4.9502 -16.6058 4.84148
-78.2284 -18.765 -27.6785 -10.5082 -16.2862 4.99895
-85.6797 -2.76559 -33.5377 1.86947 -18.4037 4.78752
-79.1762 -20.6844 -25.4862 -12.9366 -17.3077 4.77148
-85.4954 -21.5207 -33.1738 -11.1534 -19.9361 4.84146
-81.4976 -9.60708 -30.1166 -4.17034 -22.2302 4.84638
-66.5685 -20.853 -25.2596 -14.3077 -18.3926 4.87879
-96.6291 44.9731 -33.1747 15.0281 -16.1853 4.63608
-107.898 8.85989 -22.4577 0.0662122 -17.7217 4.77883
-79.1796 -9.17717 -29.992 -6.7537 -21.4431 4.80802
-87.6292 -2.72886 -29.1095 -3.21845 -19.4239 4.76071
-60.3278 -21.8423 -32.4506 -12.3211 -19.0624 4.8946
-81.9126 -17.9642 -24.7077 -10.582 -18.4506 4.82462
-84.4657 -21.4375 -23.3462 -10.1563 -16.419 4.79903
-91.6817 9.4486 -23.0515 -0.766022 -16.6594 4.74386
-70.6874 -12.7197 -35.6008 -8.60678 -21.6984 4.96134
-89.3391 -8.76228 -35.6868 -15.3966 -19.5246 4.82329
-73.6834 -21.7807 -35.6875 -11.7402 -17.846 4.87466
-76.2878 -4.14282 -19.9445 -5.81104 -20.0352 4.91255
-80.1152 -18.4287 -27.6074 -9.30759 -15.711 4.88784
-103.821 12.8249 -21.0279 1.26774 -18.4262 4.73483
-77.9831 -18.2103 -28.7807 -10.5283 -17.5758 4.74782
-84.1685 -11.8532 -29.6808 -4.81489 -20.4295 4.79563
-85.3558 -2.29704 -28.3571 0.51733 -15.3889 4.91246
-86.4929 2.17808 -21.1785 4.87424 -17.4303 4.79221
-89.5988 9.53335 -30.572 2.09822 -16.3615 4.84816
-77.9447 -44.1459 -34.2012 -24.0999 -22.4955 4.79425
-70.638 -20.0283 -34.1151 -13.7318 -19.5429 4.79791
-108.814 10.2817 -27.7564 13.0099 -18.0773 4.82461
-89.5158 -2.48185 -22.9029 -4.63076 -17.2403 4.73415
-96.0404 13.768 -29.8842 4.64598 -18.592 4.88082
-77.1064 -11.9602 -26.051 -2.67157 -16.3558 4.78257
-75.0725 -35.2299 -30.4702 -19.2739 -19.2812 4.80638
-69.9793 -27.6303 -34.5722 -14.6594 -20.0072 4.77984
-79.7695 -15.0669 -25.8263 -12.2048 -19.1543 4.76794
-71.1547 -14.4403 -21.8506 -7.03948 -14.4498 4.7727
-81.331 -18.642 -25.6672 -6.92527 -18.6798 4.85164
-70.6923 -12.8421 -25.0844 -5.19061 -17.7742 4.81516
-72.957 -10.4537 -27.6957 -4.10626 -18.1056 4.82888
-83.0745 -13.8425 -19.5243 -2.23642 -15.4339 4.80956
-76.6971 -21.6988 -30.9812 -3.91349 -18.2632 4.78469
-72.4049 -19.5056 -23.8464 -4.39436 -17.534 4.8235
-59.8773 -12.6827 -40.1059 -10.5106 -18.5791 4.79731
-79.1448 -8.62668 -32.6305 -0.544807 -19.479 4.81888
-78.9383 -18.3564 -28.2429 -6.45155 -17.1733 4.87738
-77.9495 -11.6103 -34.5902 -7.739 -20.8011 4.81503
-70.5422 -18.8845 -33.5506 -10.1045 -17.057 4.8741
-74.9475 -11.5136 -30.2968 -3.55254 -14.9663 4.87256
-91.5253 -2.48869 -25.3819 -1.08177 -21.7208 4.84502
-88.9424 -8.12525 -26.9956 -1.80372 -18.734 4.73993
-94.845 -12.7797 -27.059 -5.94057 -18.8761 4.7957
-69.1735 -21.5839 -37.7924 -18.3551 -20.439 4.84414
-82.2658 -29.4032 -31.5974 -11.6279 -18.1314 4.82338
-91.6313 -2.70419 -24.7096 -1.2069 -16.5286 4.83148
-77.9519 -24.9924 -37.8987 -17.3157 -19.2361 4.77589
-97.3815 8.52195 -9.94504 2.12637 -13.9006 4.83265
-83.1993 -14.2244 -23.223 -6.10532 -12.8016 4.8614
-63.2315 -35.4413 -36.7553 -16.9274 -19.495 4.84102
-86.2549 -9.43245 -26.552 -6.85536 -17.6249 4.75951
-83.8411 -1.69479 -27.656 -2.33933 -14.8921 4.82507
-92.7508 12.0524 -24.7409 5.59252 -17.6033 4.74607
-73.7046 -13.6809 -27.8114 -5.69302 -15.8005 4.79403
-85.14 7.55512 -28.0953 7.28551 -16.85 4.67739
-69.94 -17.2861 -31.7118 -8.87837 -18.7564 4.89501
-85.4855 -8.14355 -23.9321 -2.31666 -17.1655 4.79662
-82.2419 -7.01905 -27.7238 -5.87173 -19.3297 4.85459
-71.4428 -16.7706 -24.6355 -11.7868 -15.7738 4.88094
-78.4087 -17.5121 -22.6014 -9.61231 -15.7511 4.85702
-70.9608 -22.2609 -26.6676 -8.27357 -18.9864 4.84531
-71.0113 -25.6212 -32.4385 -17.923 -14.6668 4.83915
-65.989 -24.2568 -30.5263 -15.7677 -16.9207 4.82339
-71.6303 -32.1495 -25.9 -20.1863 -20.2961 4.83626
-70.0033 -33.1825 -35.1737 -18.9001 -21.2871 4.71604
-73.8923 -24.4078 -36.2456 -13.1266 -19.5985 4.84779
-87.1918 -7.91774 -23.2849 -4.8712 -17.0812 4.9195
-78.6507 15.7419 -21.5403 -1.61157 -18.1655 4.85026
-78.0996 -23.5203 -34.9532 -11.6077 -16.5821 4.80098
-90.1937 -5.20217 -28.5893 -4.80782 -17.4908 4.76208
-87.4891 -26.0151 -21.0997 -11.3115 -18.662 4.8768
-74.9361 -17.6108 -18.2117 -12.2983 -15.478 4.82284
-78.7906 -8.49025 -29.8178 -8.74182 -17.4439 4.85591
-76.0114 -13.8919 -28.4848 -7.09912 -17.8582 4.85582
-79.1526 -31.1216 -25.4156 -16.7196 -16.9866 4.84694
-80.0515 -15.9339 -18.0045 -11.6527 -15.8611 4.83149
-92.6195 -11.3209 -28.0604 -2.59986 -17.5516 4.81053
-83.6947 -32.0309 -31.4987 -10.5957 -18.9661 4.81735
-84.5433 -8.04468 -26.5167 0.562831 -16.8421 4.87322
-89.0178 -4.75114 -21.5655 -1.70635 -15.9346 4.71328
-70.4995 -23.1383 -30.5584 -12.6327 -16.8217 4.82445
-63.0331 -2.14575 -37.743 -2.13496 -16.2239 4.74758
-88.5686 22.9559 -20.878 18.7328 -17.2597 4.7411
