# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-101.392 -0.470343 147.245 -0.45133 159.21 7.12768
-70.8937 35.5312 163.82 18.6839 151.002 7.37699
-102.7 9.72084 131.941 5.44051 146.452 7.03843
-154.968 -3.40381 113.52 12.3795 149.116 7.17184
-150.672 4.94868 125.847 8.80711 150.054 7.08994
-89.508 26.8408 142.998 11.9 144.806 7.06113
-105.305 24.7635 157.624 11.9325 167.875 7.34353
-104.158 20.7203 -145.771 6.40627 -155.116 7.15956
-140.41 5.27853 179.312 11.798 -156.007 7.29599
-104.703 21.7209 -163.43 14.5588 -161.569 6.97308
-155.451 0.00724014 124.286 14.1382 148.317 7.09633
-87.2907 18.6948 150.138 8.75425 157.222 7.11177
-116.655 11.1352 135.752 11.0617 166.494 7.26386
-139.287 9.2644 -161.09 11.1434 -149.716 7.1148
-83.2838 27.059 -124.707 9.76762 -146.413 7.24454
-110.698 16.5045 -146.685 6.46362 -146.933 6.95051
-90.4508 29.3706 -149.485 15.3599 -155.804 7.25776
-96.0837 20.4715 -144.871 7.07243 -153.365 7.21965
-140.681 14.0713 -151.436 14.1641 -140.196 7.14596
-109.585 25.6194 -155.027 17.3305 -153.023 7.29778
-110.848 9.78353 -138.514 5.3955 -142.549 6.82961
-139.128 9.99928 -164.45 12.9368 -147.356 7.12589
-92.2702 28.5121 -150.088 14.9573 -160.935 7.27895
-122.931 27.6077 -134.524 12.6521 -135.941 6.98184
-115.22 5.35999 -167.093 4.80452 -156.998 7.08424
-143.151 -5.58414 -179.782 1.51643 -156.78 7.19256
-145.755 1.41189 159.713 9.5674 -169.458 7.30791
-160.143 2.98182 -169.191 10.667 -152.72 7.20958
-129.664 18.455 -169.932 16.522 -153.44 7.29406
-121.169 14.5146 -160.541 5.69916 -159.902 7.06409
-114.298 19.2552 -160.31 10.3457 -158.699 7.17863
-71.705 32.5442 -118.659 14.8385 -150.655 7.1905
-119.895 12.7828 -156.205 6.17984 -154.356 7.08829
-85.4846 32.0347 146.176 16.6744 146.454 7.17132
-93.4934 24.163 148.802 10.2468 148.721 7.15049
